,apartment_type,address,rent,availability,size,deposit,key_money,floor,year_built,nearest_station
0,2k ," tsuchihashikawasaki-shi miyamae-ku, kanagawa","75,000",,32.60 m²,"72,000",0,2 / 5f,1988,miyamaedaira station (8 min. walk)
1,2dk ," kizukikawasaki-shi nakahara-ku, kanagawa","85,000",,32.18 m²,"82,000",0,4 / 5f,1972,moto sumiyoshi station (2 min. walk)
2,2dk ," shimonumabekawasaki-shi nakahara-ku, kanagawa","91,000",,39.66 m²,"91,000",0,1 / 2f,1994,mukaigawara station (3 min. walk)
3,2dk ," miyazakikawasaki-shi miyamae-ku, kanagawa","101,000",,40.72 m²,"98,000",0,2 / 3f,1989,miyazakidai station (1 min. walk)
4,2dk ," katahirakawasaki-shi asao-ku, kanagawa","74,550",,39.74 m²,0,0,1 / 2f,1997,kakio station (12 min. walk)
5,2k ," suwakawasaki-shi takatsu-ku, kanagawa","79,000",,36.00 m²,0,0,1 / 2f,1990,futako shinchi station (9 min. walk)
6,3dk ," nishiikutakawasaki-shi tama-ku, kanagawa","75,000",,49.60 m²,0,0,1 / 3f,1989,yomiuriland-mae station (8 min. walk)
7,3dk ," kamikodanakakawasaki-shi nakahara-ku, kanagawa","85,000",,45.00 m²,"85,000",0,2 / 2f,1988,musashishinjou station (9 min. walk)
8,2dk ," suenagakawasaki-shi takatsu-ku, kanagawa","108,000",,49.20 m²,"153,000",0,2 / 5f,1998,kajigaya station (6 min. walk)
9,2ldk ," miyazakikawasaki-shi miyamae-ku, kanagawa","94,000",,54.00 m²,"94,000",0,2 / 3f,1998,miyazakidai station (5 min. walk)
10,3k ," shimokodanakakawasaki-shi nakahara-ku, kanagawa","101,000",,54.81 m²,"98,000",0,3 / 3f,1992,musashinakahara station (15 min. walk)
11,2dk ," kokandorikawasaki-shi kawasaki-ku, kanagawa","90,000",,43.74 m²,0,0,2 / 3f,1995,hamakawasaki station (10 min. walk)
12,2dk ," shimmarukohigashikawasaki-shi nakahara-ku, kanagawa","81,000",,44.50 m²,0,0,2 / 3f,1974,musashi-kosugi station (2 min. walk)
13,2dk ," sakadokawasaki-shi takatsu-ku, kanagawa","90,000",,45.80 m²,"85,000",0,2 / 4f,1985,takatsu station (10 min. walk)
